timestamp,open,high,low,close,volume,ema21,macd,macd_signal,macd_hist,rsi14,bb_upper,bb_mid,bb_lower,mfi14,obv,ebsw,atr14,macd_cross,ema21_slope,price_vs_bb,bb_width,obv_slope
2024-01-01 00:00:00,100.34058990,102.34740170,98.33377810,100.34058990,412.02769688,,,,,,,,,,,,,none,,none,,nan
2024-01-01 01:00:00,100.24141587,102.24624419,98.23658756,100.24141587,338.32872117,,,,,0.00000000,,,,,-338.32872117,,,none,,none,,nan
2024-01-01 02:00:00,100.59829391,102.61025978,98.58632803,100.59829391,880.85587766,,,,,21.67968392,,,,,542.52715649,,,none,,none,,nan
2024-01-01 03:00:00,102.00434273,104.04442959,99.96425588,102.00434273,981.73692958,,,,,59.20503587,,,,,1524.26408607,,,none,,none,,nan
2024-01-01 04:00:00,102.09882085,104.14079727,100.05684444,102.09882085,349.52551297,,,,,60.57204103,,,,,1873.78959904,,,none,,none,,nan
2024-01-01 05:00:00,102.36572046,104.41303487,100.31840605,102.36572046,315.99555216,,,,,64.21965986,,,,,2189.78515120,,,none,,none,,1.0
2024-01-01 06:00:00,102.00866244,104.04883569,99.96848919,102.00866244,736.92556213,,,,,56.66683143,,,,,1452.85958907,,,none,,none,,1.0
2024-01-01 07:00:00,101.60883128,103.64100790,99.57665465,101.60883128,343.92960773,,,,,49.62813682,,,,,1108.92998134,,,none,,none,,-1.0
2024-01-01 08:00:00,102.15126407,104.19428935,100.10823879,102.15126407,398.15509518,,,,,57.36527932,,,,,1507.08507652,,,none,,none,,-1.0
2024-01-01 09:00:00,101.46280347,103.49205954,99.43354740,101.46280347,264.14833701,,,,,47.41138434,,,,,1242.93673951,,,none,,none,,-1.0
2024-01-01 10:00:00,101.61580552,103.64812163,99.58348941,101.61580552,409.20641631,,,,,49.50823425,,,,,1652.14315581,,,none,,none,,1.0
2024-01-01 11:00:00,100.98248557,103.00213528,98.96283586,100.98248557,972.02540675,,,,,42.03662650,,,,,680.11774906,,,none,,none,,-1.0
